fetched_at_utc,country,state,city,station,last_update,latitude,longitude,CO,NO2,OZONE,PM10,PM2.5,SO2
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"North Campus, DU, Delhi - IITM",19-09-2026 00:00:00,28.6573814,77.1585447,74.0,132.0,36.0,87.0,49.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Alipur, Delhi - DPCC",19-09-2026 00:00:00,28.815329,77.15301,34.0,44.0,10.0,82.0,42.0,4.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",19-09-2026 00:00:00,28.636429,77.201067,83.0,,23.0,,,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Pusa, Delhi - DPCC",19-09-2026 00:00:00,28.639652,77.146275,75.0,43.0,7.0,105.0,57.0,11.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Sirifort, Delhi - CPCB",19-09-2026 00:00:00,28.5504249,77.2159377,38.0,32.0,15.0,97.0,62.0,32.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Pusa, Delhi - IITM",19-09-2026 00:00:00,28.63611,77.173332,27.0,50.0,90.0,76.0,58.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",19-09-2026 00:00:00,28.54246,77.191651,43.0,32.0,33.0,121.0,47.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",19-09-2026 00:00:00,28.5627763,77.1180053,29.0,,104.0,,,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",19-09-2026 00:00:00,28.615828,77.271992,83.0,26.0,40.0,69.0,55.0,13.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",19-09-2026 00:00:00,28.62181,77.1944633,70.0,13.0,24.0,60.0,48.0,1.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",19-09-2026 00:00:00,28.60909,77.0325413,64.0,41.0,16.0,52.0,37.0,13.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",19-09-2026 00:00:00,28.4706914,77.1099364,48.0,18.0,29.0,61.0,39.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",19-09-2026 00:00:00,28.7256504,77.2011573,45.0,57.0,79.0,82.0,50.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",19-09-2026 00:00:00,28.5918245,77.2273074,27.0,18.0,40.0,77.0,50.0,
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"JNU, Delhi - DPCC",19-09-2026 00:00:00,28.540721,77.168544,78.0,26.0,16.0,62.0,49.0,5.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"ITO, Delhi - CPCB",19-09-2026 00:00:00,28.628624,77.24106,60.0,59.0,23.0,69.0,46.0,22.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"R K Puram, Delhi - DPCC",19-09-2026 00:00:00,28.563262,77.186937,63.0,41.0,26.0,109.0,52.0,26.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Narela, Delhi - DPCC",19-09-2026 00:00:00,28.822836,77.101981,42.0,17.0,30.0,89.0,45.0,10.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",19-09-2026 00:00:00,28.594169,77.1251,51.0,8.0,12.0,44.0,23.0,4.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",19-09-2026 00:00:00,28.611281,77.237738,65.0,39.0,15.0,63.0,21.0,34.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",19-09-2026 00:00:00,28.570173,76.933762,19.0,13.0,23.0,45.0,24.0,14.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Mundka, Delhi - DPCC",19-09-2026 00:00:00,28.684678,77.076574,46.0,87.0,8.0,94.0,48.0,9.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",19-09-2026 00:00:00,28.594004,76.909423,33.0,8.0,13.0,79.0,53.0,1.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",19-09-2026 00:00:00,28.647622,77.315809,85.0,19.0,41.0,87.0,67.0,34.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"DTU, Delhi - CPCB",19-09-2026 00:00:00,28.7500499,77.1112615,9.0,25.0,31.0,73.0,44.0,31.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-09-2026 00:00:00,28.7762,77.051074,38.0,11.0,18.0,81.0,71.0,24.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",19-09-2026 00:00:00,28.530785,77.271255,69.0,31.0,22.0,86.0,50.0,7.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",19-09-2026 00:00:00,28.672342,77.31526,72.0,39.0,27.0,82.0,45.0,9.0
2026-09-18T19:26:40+00:00,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",19-09-2026 00:00:00,28.73282,77.170633,60.0,23.0,11.0,98.0,51.0,11.0
